Years,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
1927/28 (1st),Frank Borzage ,7th Heaven,Best Director,https://en.wikipedia.org/wiki/Frank Borzage ,"Salt Lake City, Utah, U.S.",1894
1928/1929(2nd)[note 1],Frank Lloyd,The Divine Lady,Best Director,https://en.wikipedia.org/wiki/Frank Lloyd,"Glasgow, Scotland, UK",Unknown
1929/1930(3rd),Lewis Milestone,All Quiet on the Western Front,Best Director,https://en.wikipedia.org/wiki/Lewis Milestone,"Chişinău, Bessarabia, Russian Empire (now Moldova)",1895
1930/1931(4th),Norman Taurog,Skippy,Best Director,https://en.wikipedia.org/wiki/Norman Taurog,"Chicago, Illinois, United States",1899
1931/1932(5th),Frank Borzage,Bad Girl,Best Director,https://en.wikipedia.org/wiki/Frank Borzage,"Salt Lake City, Utah, U.S.",1894
1932/1933(6th),Frank Lloyd,Cavalcade,Best Director,https://en.wikipedia.org/wiki/Frank Lloyd,"Glasgow, Scotland, UK",Unknown
1934(7th),Frank Capra,It Happened One Night,Best Director,https://en.wikipedia.org/wiki/Frank Capra,"Bisacquino, Italy",1897
1935(8th),John Ford,The Informer,Best Director,https://en.wikipedia.org/wiki/John Ford,"Cape Elizabeth, Maine, U.S.",1894
1936(9th),Frank Capra,Mr. Deeds Goes to Town,Best Director,https://en.wikipedia.org/wiki/Frank Capra,"Bisacquino, Italy",1897
1937(10th),Leo McCarey,The Awful Truth,Best Director,https://en.wikipedia.org/wiki/Leo McCarey,"Los Angeles, California, U.S.",1898
1938(11th),Frank Capra,You Can't Take It with You,Best Director,https://en.wikipedia.org/wiki/Frank Capra,"Bisacquino, Italy",1897
1939(12th),Victor Fleming,Gone with the Wind,Best Director,https://en.wikipedia.org/wiki/Victor Fleming,"La Cañada Flintridge, California; US",1889
1940(13th),John Ford,The Grapes of Wrath,Best Director,https://en.wikipedia.org/wiki/John Ford,"Cape Elizabeth, Maine, U.S.",1894
1941(14th),John Ford,How Green Was My Valley,Best Director,https://en.wikipedia.org/wiki/John Ford,"Cape Elizabeth, Maine, U.S.",1894
1942(15th),William Wyler,Mrs. Miniver,Best Director,https://en.wikipedia.org/wiki/William Wyler,"Mülhausen, Alsace-Lorraine, German Empire (present-day France)",1902
1943(16th),Michael Curtiz,Casablanca,Best Director,https://en.wikipedia.org/wiki/Michael Curtiz,"Budapest, Austria-Hungary (now Hungary)",1886
1944(17th),Leo McCarey,Going My Way,Best Director,https://en.wikipedia.org/wiki/Leo McCarey,"Los Angeles, California, U.S.",1898
1945(18th),Billy Wilder,The Lost Weekend,Best Director,https://en.wikipedia.org/wiki/Billy Wilder,"Sucha, Kingdom of Galicia and Lodomeria, Austria-Hungary(now Sucha Beskidzka, Poland)",1906
1946(19th),William Wyler,The Best Years of Our Lives,Best Director,https://en.wikipedia.org/wiki/William Wyler,"Mülhausen, Alsace-Lorraine, German Empire (present-day France)",1902
1947(20th),Elia Kazan,Gentleman's Agreement,Best Director,https://en.wikipedia.org/wiki/Elia Kazan,"Constantinople, Ottoman Empire (now Istanbul, Turkey)",1909
1948(21st),John Huston,The Treasure of the Sierra Madre,Best Director,https://en.wikipedia.org/wiki/John Huston,"Nevada, Missouri, U.S.",1906
1949(22nd),Joseph L. Mankiewicz,A Letter to Three Wives,Best Director,https://en.wikipedia.org/wiki/Joseph L. Mankiewicz,"Wilkes-Barre, Pennsylvania, U.S.",1909
1950(23rd),Joseph L. Mankiewicz,All About Eve,Best Director,https://en.wikipedia.org/wiki/Joseph L. Mankiewicz,"Wilkes-Barre, Pennsylvania, U.S.",1909
1951(24th),George Stevens,A Place in the Sun,Best Director,https://en.wikipedia.org/wiki/George Stevens,"Oakland, California, U.S.",1904
1952(25th),John Ford,The Quiet Man,Best Director,https://en.wikipedia.org/wiki/John Ford,"Cape Elizabeth, Maine, U.S.",1894
1953(26th),Fred Zinnemann,From Here to Eternity,Best Director,https://en.wikipedia.org/wiki/Fred Zinnemann,"Rzeszów, Austria-Hungary (now Poland)[1][2]",1907
1954(27th),Elia Kazan,On the Waterfront,Best Director,https://en.wikipedia.org/wiki/Elia Kazan,"Constantinople, Ottoman Empire (now Istanbul, Turkey)",1909
1955(28th),Delbert Mann,Marty,Best Director,https://en.wikipedia.org/wiki/Delbert Mann,"Lawrence, Kansas, U.S.",1920
1956(29th),George Stevens,Giant,Best Director,https://en.wikipedia.org/wiki/George Stevens,"Oakland, California, U.S.",1904
1957(30th),David Lean,The Bridge on the River Kwai,Best Director,https://en.wikipedia.org/wiki/David Lean,"Croydon, Surrey",1908
1958(31st),Vincente Minnelli,Gigi,Best Director,https://en.wikipedia.org/wiki/Vincente Minnelli,"Chicago, Illinois, U.S.",1903
1959(32nd),William Wyler,Ben-Hur,Best Director,https://en.wikipedia.org/wiki/William Wyler,"Mülhausen, Alsace-Lorraine, German Empire (present-day France)",1902
1960(33rd),Billy Wilder,The Apartment,Best Director,https://en.wikipedia.org/wiki/Billy Wilder,"Sucha, Kingdom of Galicia and Lodomeria, Austria-Hungary(now Sucha Beskidzka, Poland)",1906
1961(34th),Robert Wise ,West Side Story,Best Director,https://en.wikipedia.org/wiki/Robert Wise ,"Winchester, Indiana, U.S.",1914
1962(35th),David Lean,Lawrence of Arabia,Best Director,https://en.wikipedia.org/wiki/David Lean,"Croydon, Surrey",1908
1963(36th),Tony Richardson,Tom Jones,Best Director,https://en.wikipedia.org/wiki/Tony Richardson,"Shipley, West Riding of Yorkshire, England",1928
1964(37th),George Cukor,My Fair Lady,Best Director,https://en.wikipedia.org/wiki/George Cukor,"Manhattan, New York, U.S.",1899
1965(38th),Robert Wise,The Sound of Music,Best Director,https://en.wikipedia.org/wiki/Robert Wise,"Winchester, Indiana, U.S.",1914
1966(39th),Fred Zinnemann,A Man for All Seasons,Best Director,https://en.wikipedia.org/wiki/Fred Zinnemann,"Rzeszów, Austria-Hungary (now Poland)[1][2]",1907
1967(40th),Mike Nichols,The Graduate,Best Director,https://en.wikipedia.org/wiki/Mike Nichols,"Berlin, Germany",1931
1968(41st),Carol Reed,Oliver!,Best Director,https://en.wikipedia.org/wiki/Carol Reed,"Putney, London, England",1906
1969(42nd),John Schlesinger,Midnight Cowboy,Best Director,https://en.wikipedia.org/wiki/John Schlesinger,"London, England",1926
1970(43rd),Franklin J. Schaffner,Patton,Best Director,https://en.wikipedia.org/wiki/Franklin J. Schaffner,"Tokyo, Japan",1920
1971(44th),William Friedkin,The French Connection,Best Director,https://en.wikipedia.org/wiki/William Friedkin,"Chicago, Illinois, U.S.",1935
1972(45th),Bob Fosse,Cabaret,Best Director,https://en.wikipedia.org/wiki/Bob Fosse,"Chicago, Illinois, U.S.",1927
1973(46th),George Roy Hill,The Sting,Best Director,https://en.wikipedia.org/wiki/George Roy Hill,"Minneapolis, Minnesota, U.S.",1921
1974(47th),Francis Ford Coppola,The Godfather Part II,Best Director,https://en.wikipedia.org/wiki/Francis Ford Coppola,"Detroit, Michigan, U.S.",1939
1975(48th),Miloš Forman,One Flew Over the Cuckoo's Nest,Best Director,https://en.wikipedia.org/wiki/Miloš Forman,"Čáslav, Czechoslovakia(now the Czech Republic)",1932
1976(49th),John G. Avildsen,Rocky,Best Director,https://en.wikipedia.org/wiki/John G. Avildsen,"Oak Park, Illinois, U.S.",1935
1977(50th),Woody Allen,Annie Hall,Best Director,https://en.wikipedia.org/wiki/Woody Allen,"New York City, U.S.",1935
1978(51st),Michael Cimino,The Deer Hunter,Best Director,https://en.wikipedia.org/wiki/Michael Cimino,"New York City, New York, U.S.",1939
1979(52nd),Robert Benton,Kramer vs. Kramer,Best Director,https://en.wikipedia.org/wiki/Robert Benton,"Waxahachie, Texas, United States",1932
1980(53rd),Robert Redford,Ordinary People,Best Director,https://en.wikipedia.org/wiki/Robert Redford,"Santa Monica, California, U.S.",1936
1981(54th),Warren Beatty,Reds,Best Director,https://en.wikipedia.org/wiki/Warren Beatty,"Richmond, Virginia, U.S.",1937
1982(55th),Richard Attenborough,Gandhi,Best Director,https://en.wikipedia.org/wiki/Richard Attenborough,Unknown,1923
1983(56th),James L. Brooks,Terms of Endearment,Best Director,https://en.wikipedia.org/wiki/James L. Brooks,"Brooklyn, New York, U.S.",1940
1984(57th),Miloš Forman,Amadeus,Best Director,https://en.wikipedia.org/wiki/Miloš Forman,"Čáslav, Czechoslovakia(now the Czech Republic)",1932
1985(58th),Sydney Pollack,Out of Africa,Best Director,https://en.wikipedia.org/wiki/Sydney Pollack,"Lafayette, Indiana, U.S.",1934
1986(59th),Oliver Stone,Platoon,Best Director,https://en.wikipedia.org/wiki/Oliver Stone,"New York City, New York, U.S.",1946
1987(60th),Bernardo Bertolucci,The Last Emperor,Best Director,https://en.wikipedia.org/wiki/Bernardo Bertolucci,"Parma, Kingdom of Italy",1941
1988(61st),Barry Levinson,Rain Man,Best Director,https://en.wikipedia.org/wiki/Barry Levinson,"Baltimore, Maryland, U.S.",1942
1989(62nd),Oliver Stone,Born on the Fourth of July,Best Director,https://en.wikipedia.org/wiki/Oliver Stone,"New York City, New York, U.S.",1946
1990(63rd),Kevin Costner,Dances with Wolves,Best Director,https://en.wikipedia.org/wiki/Kevin Costner,"Lynwood, California, U.S.",1955
1991(64th),Jonathan Demme,The Silence of the Lambs,Best Director,https://en.wikipedia.org/wiki/Jonathan Demme,"Baldwin, Nassau County, New York, U.S.",1944
1992(65th),Clint Eastwood,Unforgiven,Best Director,https://en.wikipedia.org/wiki/Clint Eastwood,"San Francisco, California, U.S.",1930
1993(66th),Steven Spielberg,Schindler's List,Best Director,https://en.wikipedia.org/wiki/Steven Spielberg,"Cincinnati, Ohio, U.S.",1946
1994(67th),Robert Zemeckis,Forrest Gump,Best Director,https://en.wikipedia.org/wiki/Robert Zemeckis,"Chicago, Illinois, U.S.",1952
1995(68th),Mel Gibson,Braveheart,Best Director,https://en.wikipedia.org/wiki/Mel Gibson,"Peekskill, New York, U.S.",1956
1996(69th),Anthony Minghella,The English Patient,Best Director,https://en.wikipedia.org/wiki/Anthony Minghella,"Ryde, Isle of Wight, England",1954
1997(70th),James Cameron,Titanic,Best Director,https://en.wikipedia.org/wiki/James Cameron,"Kapuskasing, Ontario, Canada",1954
1998(71st),Steven Spielberg,Saving Private Ryan,Best Director,https://en.wikipedia.org/wiki/Steven Spielberg,"Cincinnati, Ohio, U.S.",1946
1999(72nd),Sam Mendes,American Beauty,Best Director,https://en.wikipedia.org/wiki/Sam Mendes,"Reading, Berkshire, England",1965
2000(73rd),Steven Soderbergh,Traffic,Best Director,https://en.wikipedia.org/wiki/Steven Soderbergh,"Atlanta, Georgia, U.S.",1963
2001(74th),Ron Howard,A Beautiful Mind,Best Director,https://en.wikipedia.org/wiki/Ron Howard,"Duncan, Oklahoma, U.S.",1954
2002(75th),Roman Polanski,The Pianist,Best Director,https://en.wikipedia.org/wiki/Roman Polanski,"Paris, French Third Republic",1933
2003(76th),Peter Jackson,The Lord of the Rings: The Return of the King,Best Director,https://en.wikipedia.org/wiki/Peter Jackson,"Wellington, New Zealand",1961
2004(77th),Clint Eastwood,Million Dollar Baby,Best Director,https://en.wikipedia.org/wiki/Clint Eastwood,"San Francisco, California, U.S.",1930
2005(78th),Ang Lee,Brokeback Mountain,Best Director,https://en.wikipedia.org/wiki/Ang Lee,"Chaozhou, Pingtung, Taiwan",1954
2006(79th),Martin Scorsese,The Departed,Best Director,https://en.wikipedia.org/wiki/Martin Scorsese,"New York City, U.S.",1942
2007(80th),Coen Brothers,No Country for Old Men,Best Director,https://en.wikipedia.org/wiki/Coen Brothers,"St. Louis Park, Minnesota, U.S. (both)",1954
2008(81st),Danny Boyle,Slumdog Millionaire,Best Director,https://en.wikipedia.org/wiki/Danny Boyle,"Radcliffe, Greater Manchester, England",1956
2009(82nd),Kathryn Bigelow,The Hurt Locker,Best Director,https://en.wikipedia.org/wiki/Kathryn Bigelow,"San Carlos, California, U.S.",1951
2010(83rd),Tom Hooper,The King's Speech,Best Director,https://en.wikipedia.org/wiki/Tom Hooper,"London, England",1972
2011(84th),Michel Hazanavicius,The Artist,Best Director,https://en.wikipedia.org/wiki/Michel Hazanavicius,"Paris, France",1967
2012(85th),Ang Lee,Life of Pi,Best Director,https://en.wikipedia.org/wiki/Ang Lee,"Chaozhou, Pingtung, Taiwan",1954
2013(86th),Alfonso Cuarón,Gravity,Best Director,https://en.wikipedia.org/wiki/Alfonso Cuarón,"Mexico City, Mexico",1961
2014(87th),Alejandro G. Iñárritu,Birdman,Best Director,https://en.wikipedia.org/wiki/Alejandro G. Iñárritu,"Mexico City, Mexico",1963
2015 (88th),Alejandro G. Iñárritu,The Revenant,Best Director,https://en.wikipedia.org/wiki/Alejandro G. Iñárritu,"Mexico City, Mexico",1963
2016 (89th),Damien Chazelle,La La Land,Best Director,https://en.wikipedia.org/wiki/Damien Chazelle,"Providence, Rhode Island, U.S.",1985
2017 (90th),Guillermo del Toro,The Shape of Water,Best Director,https://en.wikipedia.org/wiki/Guillermo del Toro,"Guadalajara, Jalisco, Mexico",1964
2018 (91st),Alfonso Cuarón,Roma,Best Director,https://en.wikipedia.org/wiki/Alfonso Cuarón,"Mexico City, Mexico",1961
2019 (92nd),Bong Joon-ho,Parasite,Best Director,https://en.wikipedia.org/wiki/Bong Joon-ho,"Daegu, South Korea",1969
